Age of respondent,Highest year of school completed,"Highest year school completed, father","Highest year school completed, mother","Highest year school completed, spouse",Rs highest degree,Respondents sex,Rs occupational prestige score (2010)
30,11,Not applicable,9,14,Lt high school,Female,31
53,14,14,14,12,Junior college,Male,60
56,13,6,Not applicable,12,High school,Male,48
20,12,14,12,Not applicable,High school,Male,40
64,16,12,12,Not applicable,Bachelor,Female,53
40,12,16,16,Not applicable,High school,Male,28
64,9,4,5,6,High school,Female,37
39,14,Not applicable,14,16,High school,Female,35
42,9,6,6,10,Lt high school,Female,50
22,11,6,9,Not applicable,Lt high school,Male,27
51,5,3,2,5,Lt high school,Male,35
40,9,6,6,Not applicable,Lt high school,Female,28
40,10,0,7,Not applicable,Lt high school,Male,45
24,15,Not applicable,11,15,High school,Female,0
27,9,Don't know,Don't know,Not applicable,Lt high school,Female,24
34,7,Not applicable,15,6,Lt high school,Female,35
24,14,8,12,Not applicable,High school,Female,0
34,12,Don't know,Don't know,Don't know,High school,Female,0
44,16,12,6,14,Bachelor,Female,61
80,12,13,15,Not applicable,High school,Female,37
61,16,13,12,16,Bachelor,Female,47
39,12,16,14,Not applicable,High school,Female,31
41,20,Not applicable,18,Not applicable,Graduate,Female,51
34,14,Not applicable,18,14,High school,Male,45
70,19,12,8,14,Graduate,Female,61
49,15,Don't know,16,Not applicable,High school,Female,62
59,19,16,6,16,Graduate,Female,38
31,20,14,12,Not applicable,Graduate,Female,69
77,16,16,12,Not applicable,Bachelor,Male,61
40,17,Not applicable,14,Not applicable,Bachelor,Female,35
53,16,Not applicable,8,16,Graduate,Female,45
29,12,Don't know,12,Not applicable,High school,Female,31
39,15,12,16,Not applicable,High school,Female,46
27,15,14,14,Not applicable,High school,Female,33
62,18,5,5,Not applicable,Graduate,Male,74
48,12,Not applicable,11,Not applicable,High school,Female,33
28,12,9,3,10,High school,Female,26
47,12,Not applicable,16,12,High school,Male,35
42,13,Not applicable,14,Not applicable,High school,Female,50
38,12,12,Not applicable,12,High school,Female,47
53,16,18,12,16,Bachelor,Male,74
40,14,12,12,Not applicable,High school,Male,35
57,15,16,16,12,Junior college,Male,43
51,11,16,9,12,High school,Male,54
60,14,Not applicable,8,Not applicable,Junior college,Female,80
55,18,Don't know,0,Not applicable,Graduate,Female,69
40,14,11,12,12,High school,Female,22
25,11,Not applicable,3,11,Lt high school,Male,28
19,6,Don't know,Don't know,Not applicable,Lt high school,Female,24
46,3,Don't know,Don't know,Not applicable,Lt high school,Male,46
60,9,Not applicable,6,Not applicable,Lt high school,Female,45
22,12,Not applicable,16,Not applicable,High school,Female,38
29,19,14,15,Not applicable,Graduate,Female,67
28,16,12,16,Not applicable,Bachelor,Male,29
36,12,Not applicable,12,Not applicable,High school,Female,25
29,16,20,14,12,Bachelor,Female,48
40,12,6,12,15,High school,Male,35
47,14,16,18,14,High school,Male,45
No answer,13,12,14,Not applicable,High school,Female,51
51,14,12,14,Not applicable,High school,Male,50
63,13,16,10,Not applicable,High school,Male,51
33,13,Not applicable,14,Not applicable,High school,Male,39
47,12,Not applicable,12,12,High school,Female,57
26,15,3,3,15,High school,Female,31
68,16,Don't know,14,15,Bachelor,Male,66
36,16,18,18,12,Bachelor,Female,53
34,14,12,12,Not applicable,Junior college,Male,59
30,17,12,16,Not applicable,Bachelor,Female,61
71,13,Don't know,8,18,High school,Female,24
28,12,16,16,Not applicable,High school,Female,25
65,16,9,12,14,Bachelor,Male,39
49,12,Not applicable,12,20,High school,Male,53
32,12,10,13,Not applicable,High school,Male,35
21,15,14,14,Not applicable,High school,Female,31
38,14,15,12,12,Junior college,Female,38
22,14,14,12,Not applicable,High school,Male,40
50,14,6,12,Not applicable,High school,Male,40
86,13,15,13,15,High school,Male,44
59,12,9,9,14,High school,Female,64
28,15,Not applicable,16,Not applicable,Junior college,Female,0
54,15,12,20,18,High school,Male,38
71,15,12,16,16,Bachelor,Female,38
58,16,12,12,13,Junior college,Female,38
88,3,0,4,Not applicable,Lt high school,Female,0
34,12,12,12,12,High school,Male,45
52,12,12,16,Not applicable,High school,Female,31
71,12,12,12,12,Lt high school,Female,32
21,11,Not applicable,11,11,High school,Female,28
23,12,Not applicable,12,Not applicable,High school,Male,25
82,12,3,Don't know,Not applicable,High school,Male,33
34,12,Not applicable,15,13,High school,Male,25
32,14,Not applicable,9,Not applicable,High school,Female,31
43,15,Don't know,9,Not applicable,Graduate,Female,36
75,12,Don't know,Don't know,Not applicable,High school,Female,0
46,12,Not applicable,17,12,High school,Male,25
33,12,12,12,Not applicable,High school,Male,35
79,4,0,0,Not applicable,Lt high school,Female,21
50,12,6,4,Not applicable,High school,Female,25
40,16,6,6,Not applicable,Bachelor,Female,60
89 or older,4,Don't know,Don't know,Not applicable,Lt high school,Female,48
65,13,Don't know,Don't know,12,High school,Male,38
69,13,Not applicable,12,Not applicable,High school,Female,38
73,12,8,9,Not applicable,High school,Male,44
53,9,Not applicable,12,Not applicable,Lt high school,Female,25
46,14,12,10,12,Junior college,Female,42
56,12,12,Not applicable,Not applicable,High school,Female,53
71,12,5,10,16,High school,Male,49
33,12,Not applicable,12,Not applicable,High school,Male,37
68,15,Don't know,16,Not applicable,High school,Female,52
89 or older,12,12,12,Not applicable,High school,Female,49
19,9,6,3,Not applicable,Lt high school,Male,24
26,16,Not applicable,16,Not applicable,Bachelor,Male,51
28,18,18,12,Not applicable,Graduate,Female,49
70,12,6,6,Not applicable,High school,Male,45
38,11,Don't know,Don't know,11,Lt high school,Female,48
39,18,15,12,16,Graduate,Male,59
19,13,16,14,Not applicable,High school,Male,0
45,18,18,14,18,Graduate,Male,63
47,18,12,12,14,Graduate,Female,53
46,18,19,16,18,Graduate,Male,64
19,11,16,14,Not applicable,Lt high school,Female,35
48,16,16,18,Not applicable,Bachelor,Female,50
38,15,Not applicable,12,19,High school,Female,38
24,16,14,14,Not applicable,Bachelor,Male,0
54,12,Not applicable,Don't know,Not applicable,High school,Female,38
50,15,14,Not applicable,Not applicable,Junior college,Male,49
48,13,14,14,Not applicable,High school,Male,35
25,14,Not applicable,14,Not applicable,High school,Male,31
59,12,12,16,Not applicable,High school,Male,32
25,12,12,9,Not applicable,High school,Male,35
28,14,Not applicable,12,13,Junior college,Female,32
40,13,7,14,Not applicable,High school,Female,52
73,18,12,12,18,Graduate,Female,64
50,10,12,Not applicable,14,Lt high school,Male,32
20,16,18,12,Not applicable,High school,Female,60
43,14,16,12,14,High school,Male,45
68,16,16,14,18,Bachelor,Female,38
18,12,16,16,Not applicable,High school,Male,50
54,14,Don't know,11,15,High school,Female,31
71,17,17,17,Not applicable,Graduate,Female,50
28,12,Not applicable,13,13,High school,Female,47
46,16,13,16,Not applicable,Bachelor,Male,38
47,10,12,12,12,Lt high school,Male,73
65,12,12,12,Not applicable,High school,Female,45
18,12,12,12,Not applicable,High school,Male,25
57,14,Not applicable,9,17,High school,Female,28
65,16,12,11,Not applicable,Bachelor,Female,31
25,12,Not applicable,15,Not applicable,High school,Female,30
30,12,Not applicable,12,Not applicable,High school,Male,35
37,13,12,12,Not applicable,High school,Female,31
68,12,8,8,16,High school,Female,40
47,15,12,12,Not applicable,High school,Male,60
61,10,12,12,Not applicable,Lt high school,Male,28
23,12,12,Don't know,Not applicable,High school,Male,25
27,18,20,12,Not applicable,High school,Male,59
19,11,16,14,Not applicable,High school,Male,35
54,20,12,14,18,Bachelor,Male,47
34,16,Not applicable,12,16,Junior college,Female,52
89 or older,18,8,8,Not applicable,Graduate,Female,61
34,14,5,5,18,High school,Male,63
64,16,14,12,16,Bachelor,Male,53
36,16,12,18,16,Bachelor,Female,63
42,16,12,12,Not applicable,Bachelor,Female,38
44,16,12,14,14,Junior college,Female,46
44,15,14,14,Not applicable,High school,Male,26
43,18,Not applicable,14,Not applicable,Bachelor,Male,60
77,17,14,12,Not applicable,Bachelor,Female,47
43,9,Don't know,12,Not applicable,High school,Male,49
36,12,Not applicable,16,Not applicable,High school,Male,41
30,16,12,14,Not applicable,Bachelor,Male,60
58,19,9,12,Not applicable,Bachelor,Male,51
89 or older,16,12,8,Not applicable,Bachelor,Female,60
62,12,12,12,Not applicable,High school,Male,25
76,14,Not applicable,Don't know,Not applicable,High school,Female,33
51,14,14,14,14,Junior college,Female,57
27,14,18,Not applicable,Not applicable,Junior college,Female,31
73,14,11,12,16,High school,Male,53
28,8,12,12,Not applicable,Lt high school,Male,35
34,16,12,12,14,Bachelor,Male,34
40,12,10,12,Not applicable,High school,Female,40
35,16,12,9,12,Bachelor,Female,51
70,14,12,8,Not applicable,High school,Male,39
82,13,8,Don't know,Not applicable,High school,Female,48
52,17,8,8,Not applicable,Junior college,Female,36
56,12,12,Not applicable,Not applicable,High school,Male,38
46,15,Don't know,14,14,High school,Female,25
33,12,12,12,12,High school,Female,35
23,8,8,8,Not applicable,Lt high school,Female,46
48,12,10,12,10,High school,Male,43
55,14,16,14,Not applicable,Junior college,Male,42
56,12,14,Don't know,Not applicable,High school,Female,48
74,16,8,11,16,Bachelor,Female,47
28,12,Don't know,12,Not applicable,High school,Female,55
24,Don't know,Don't know,16,15,High school,Female,38
62,20,13,12,12,Bachelor,Male,62
74,15,12,13,Not applicable,Junior college,Female,35
24,12,12,12,Not applicable,High school,Female,61
29,15,Not applicable,15,12,High school,Female,35
59,14,3,2,Not applicable,High school,Female,38
73,15,6,10,Not applicable,Junior college,Male,47
65,3,Not applicable,0,3,Lt high school,Male,36
19,12,14,12,12,High school,Female,53
22,12,Not applicable,Don't know,Not applicable,High school,Female,22
40,16,12,20,16,Bachelor,Male,43
48,7,Not applicable,0,12,Lt high school,Male,35
61,12,Not applicable,12,12,High school,Male,35
49,16,16,14,18,Graduate,Female,53
39,12,6,9,12,High school,Male,31
45,16,12,13,Not applicable,Junior college,Female,24
60,13,12,12,Not applicable,High school,Male,35
32,16,18,16,Not applicable,Bachelor,Male,73
39,18,16,12,Not applicable,Bachelor,Male,30
52,16,Not applicable,12,14,Bachelor,Female,47
44,15,Not applicable,15,13,High school,Female,28
59,12,Not applicable,12,Not applicable,High school,Female,21
46,12,Don't know,16,Not applicable,High school,Female,35
63,12,12,12,Not applicable,High school,Male,38
26,12,Don't know,14,Not applicable,High school,Male,22
31,12,Not applicable,0,Not applicable,High school,Male,31
19,12,Not applicable,16,Not applicable,High school,Male,50
40,18,9,16,Not applicable,Graduate,Female,17
64,16,12,14,14,High school,Male,61
25,15,16,14,Not applicable,High school,Male,29
56,12,12,12,14,High school,Male,28
41,14,Don't know,12,16,Junior college,Female,61
54,16,Not applicable,16,Not applicable,Bachelor,Female,61
40,12,Not applicable,No answer,Not applicable,High school,Male,31
64,16,4,Don't know,16,Bachelor,Male,55
56,16,12,12,Not applicable,Bachelor,Female,55
71,12,12,12,Not applicable,High school,Female,31
50,16,12,12,16,Bachelor,Male,65
69,13,13,6,Not applicable,High school,Male,46
49,12,Not applicable,12,Not applicable,High school,Male,35
61,12,15,12,18,High school,Male,46
38,19,12,12,Not applicable,Junior college,Female,43
74,16,8,12,16,Bachelor,Male,60
40,12,12,12,12,High school,Female,46
34,12,Don't know,Don't know,12,High school,Male,37
41,14,12,Don't know,Not applicable,Junior college,Male,56
78,10,9,Don't know,12,Lt high school,Male,37
47,9,2,3,9,Lt high school,Female,35
50,14,12,Not applicable,Not applicable,High school,Female,30
41,12,Not applicable,12,Not applicable,High school,Female,38
63,15,12,12,Not applicable,Junior college,Female,53
56,14,12,12,6,High school,Male,50
18,12,Not applicable,16,Not applicable,High school,Female,0
25,12,12,16,16,High school,Male,35
55,14,14,6,12,Junior college,Female,47
58,14,16,16,Not applicable,High school,Male,35
39,14,14,14,14,Junior college,Female,49
42,16,2,1,16,Bachelor,Female,0
25,12,Don't know,12,Not applicable,High school,Male,38
76,6,3,3,6,Lt high school,Female,22
53,17,9,6,Not applicable,Bachelor,Female,61
57,14,Don't know,Don't know,Not applicable,High school,Male,47
53,14,10,15,12,Junior college,Female,50
63,16,12,12,14,High school,Male,24
62,16,6,5,18,Bachelor,Female,35
56,17,12,12,12,Bachelor,Female,48
70,12,12,12,Not applicable,High school,Male,59
35,16,16,12,Not applicable,Bachelor,Male,46
64,16,12,10,16,Bachelor,Female,73
32,13,2,8,12,High school,Male,45
27,16,16,12,Not applicable,Bachelor,Female,65
67,12,Not applicable,0,10,High school,Male,33
27,12,14,12,13,High school,Female,51
31,15,18,12,Not applicable,High school,Male,45
79,13,8,12,12,High school,Female,64
41,20,12,14,Not applicable,High school,Female,59
29,15,Not applicable,14,12,High school,Female,53
42,8,Not applicable,12,Not applicable,Lt high school,Female,25
89 or older,12,12,12,Not applicable,High school,Female,47
52,16,Not applicable,16,16,Bachelor,Female,48
78,16,Not applicable,16,14,Bachelor,Male,38
77,12,7,5,12,High school,Male,53
42,16,16,14,Not applicable,Bachelor,Female,63
45,16,16,14,13,Bachelor,Male,60
64,16,20,14,18,Graduate,Female,62
83,12,3,Don't know,Not applicable,High school,Female,31
49,17,18,12,17,Graduate,Female,52
31,17,12,16,16,Bachelor,Female,51
42,16,16,16,20,Bachelor,Female,61
25,14,12,Not applicable,Not applicable,High school,Female,35
47,16,16,16,16,Bachelor,Male,31
48,16,16,16,13,Junior college,Female,64
53,12,11,12,Not applicable,High school,Female,48
57,18,Not applicable,9,Not applicable,Bachelor,Male,73
84,12,8,Don't know,Not applicable,High school,Female,49
83,14,6,6,Not applicable,High school,Female,39
68,16,Not applicable,16,Not applicable,Bachelor,Female,45
64,12,10,12,Not applicable,High school,Male,38
63,16,13,12,Not applicable,Bachelor,Female,56
70,12,12,12,Not applicable,High school,Female,41
21,15,Not applicable,14,Not applicable,High school,Male,0
29,12,10,16,Not applicable,High school,Male,25
56,13,Not applicable,Don't know,Not applicable,Lt high school,Male,35
27,16,16,16,Not applicable,High school,Male,50
53,12,10,10,12,Lt high school,Female,35
68,12,Not applicable,8,12,High school,Male,38
44,12,Not applicable,16,Not applicable,High school,Male,35
68,11,Not applicable,8,11,Lt high school,Female,55
39,12,12,12,Not applicable,High school,Male,24
57,12,16,Don't know,Not applicable,High school,Male,35
25,12,12,16,Not applicable,High school,Male,24
42,13,12,Don't know,Not applicable,High school,Female,31
25,13,Not applicable,16,Not applicable,High school,Male,0
19,12,Not applicable,16,Not applicable,High school,Female,21
66,12,Not applicable,12,Not applicable,High school,Female,21
74,14,5,12,Not applicable,Junior college,Male,53
69,20,12,12,Not applicable,Graduate,Female,60
26,12,Not applicable,12,Not applicable,High school,Female,25
69,14,12,Don't know,Not applicable,High school,Male,33
27,15,12,Not applicable,12,High school,Female,17
53,14,Not applicable,15,Not applicable,High school,Male,35
35,10,12,12,Not applicable,High school,Male,63
32,14,12,12,16,High school,Female,46
19,11,18,14,Not applicable,High school,Female,33
56,14,Not applicable,Don't know,15,High school,Male,35
69,14,8,8,Not applicable,Junior college,Male,28
66,12,11,12,12,High school,Female,43
69,20,2,6,Not applicable,Bachelor,Female,64
43,12,8,12,Not applicable,High school,Male,45
43,12,Not applicable,12,Not applicable,High school,Female,25
44,16,Not applicable,12,16,Bachelor,Female,36
58,16,12,12,Not applicable,Bachelor,Male,39
38,12,12,12,14,High school,Male,28
49,17,16,12,15,Bachelor,Female,41
51,12,12,12,16,High school,Male,53
59,20,8,12,12,Graduate,Female,61
68,14,8,8,Not applicable,Junior college,Male,44
73,18,6,12,16,Graduate,Male,73
67,18,12,12,13,Graduate,Male,61
70,19,12,16,20,Graduate,Male,63
61,16,14,12,16,Bachelor,Female,49
50,14,14,12,15,Junior college,Female,48
67,16,Not applicable,12,16,Bachelor,Male,62
39,17,Not applicable,14,16,Graduate,Male,57
48,18,12,11,16,Graduate,Female,63
19,13,20,16,Not applicable,High school,Female,38
58,12,Don't know,0,13,High school,Male,40
54,14,Don't know,10,Not applicable,Junior college,Female,69
20,11,Don't know,10,Not applicable,Lt high school,Male,0
89 or older,15,Not applicable,16,Not applicable,High school,Female,64
44,11,Don't know,6,14,Lt high school,Female,52
59,12,Not applicable,Don't know,12,High school,Male,35
47,17,6,6,12,Bachelor,Female,39
46,18,Not applicable,12,18,Graduate,Female,51
55,15,14,8,12,High school,Male,42
65,12,Not applicable,12,16,High school,Male,40
23,14,Don't know,12,Not applicable,Junior college,Female,46
28,9,Don't know,17,10,Lt high school,Female,46
76,17,7,8,Not applicable,Bachelor,Female,38
45,14,12,12,Not applicable,Bachelor,Male,53
40,9,6,6,Not applicable,Lt high school,Female,28
77,12,12,3,Not applicable,High school,Female,25
74,18,12,12,Not applicable,Graduate,Male,61
79,6,Don't know,6,6,Lt high school,Female,47
70,9,6,6,9,Lt high school,Male,47
61,12,8,12,12,Lt high school,Male,44
49,6,Don't know,Not applicable,0,Lt high school,Male,27
38,14,13,18,18,Bachelor,Male,61
25,16,16,18,Not applicable,Bachelor,Female,39
36,16,Not applicable,12,16,High school,Male,50
75,16,19,18,Not applicable,Bachelor,Female,80
22,13,16,14,14,High school,Male,50
45,14,16,12,14,High school,Male,46
26,14,3,0,Not applicable,High school,Female,21
40,14,12,12,Not applicable,High school,Male,47
26,12,11,16,Not applicable,High school,Female,31
60,11,Not applicable,14,Not applicable,Lt high school,Female,24
32,16,19,Not applicable,12,High school,Male,48
54,13,12,12,Not applicable,High school,Female,63
27,12,Not applicable,10,Not applicable,Lt high school,Male,33
27,14,Not applicable,11,Not applicable,Junior college,Female,38
34,12,12,16,Not applicable,High school,Male,55
37,16,17,16,17,Bachelor,Female,61
41,16,3,8,18,Bachelor,Male,35
32,13,16,12,Not applicable,High school,Female,53
43,18,14,12,Not applicable,Graduate,Male,61
42,18,14,Not applicable,12,Graduate,Male,72
57,17,11,9,17,Bachelor,Male,50
43,16,13,14,20,Bachelor,Female,74
41,18,16,Not applicable,Not applicable,Graduate,Male,46
77,13,2,4,Not applicable,High school,Male,51
46,16,16,16,14,Bachelor,Male,51
50,20,14,16,Not applicable,Graduate,Female,61
25,17,16,16,Not applicable,Bachelor,Male,58
37,16,11,16,16,Bachelor,Female,60
60,13,12,14,16,High school,Female,26
57,13,12,12,16,High school,Male,45
38,12,12,12,12,High school,Female,0
25,14,13,13,Not applicable,High school,Male,25
34,16,Not applicable,13,Not applicable,Bachelor,Male,22
65,13,12,Don't know,12,High school,Male,39
34,12,Not applicable,13,Not applicable,High school,Female,45
34,15,12,12,Not applicable,High school,Female,38
40,14,Not applicable,13,Not applicable,High school,Female,53
26,15,Not applicable,14,Not applicable,High school,Female,59
23,13,16,18,Not applicable,High school,Female,38
24,12,12,12,Not applicable,High school,Female,49
28,16,18,12,16,Junior college,Female,40
56,15,14,15,Not applicable,Junior college,Female,45
84,16,8,12,13,Bachelor,Male,66
42,16,Not applicable,13,Not applicable,Bachelor,Female,26
44,20,9,9,Not applicable,Bachelor,Male,80
51,20,16,20,Not applicable,Graduate,Male,61
61,16,9,13,Not applicable,Bachelor,Male,60
37,16,12,12,14,Bachelor,Female,61
39,16,14,14,Not applicable,Bachelor,Male,53
65,18,14,14,Not applicable,Graduate,Male,61
39,14,12,12,Not applicable,High school,Female,48
26,13,Not applicable,12,Not applicable,High school,Female,24
55,16,10,12,12,Bachelor,Female,45
51,16,12,12,18,Graduate,Female,64
50,16,14,Not applicable,Not applicable,Bachelor,Female,64
61,14,12,12,12,Junior college,Male,44
19,13,18,14,Not applicable,High school,Female,34
42,14,12,12,Not applicable,High school,Female,46
30,13,16,12,13,High school,Male,33
60,18,8,12,Not applicable,Graduate,Female,61
46,13,Not applicable,12,Not applicable,Junior college,Female,53
35,12,12,15,Not applicable,High school,Female,48
75,12,Don't know,9,Not applicable,High school,Female,27
35,10,12,12,12,Lt high school,Female,0
34,16,12,12,16,Bachelor,Male,49
58,14,8,12,Not applicable,Junior college,Male,49
55,12,8,12,Not applicable,High school,Male,42
86,16,Don't know,12,Not applicable,Bachelor,Male,62
54,12,8,12,Not applicable,High school,Male,35
44,16,12,12,Not applicable,Bachelor,Female,42
55,12,12,12,Not applicable,High school,Male,70
58,14,14,9,Not applicable,Junior college,Female,69
54,15,Not applicable,18,Not applicable,High school,Male,25
31,16,Not applicable,11,Not applicable,Bachelor,Female,38
51,15,12,12,Not applicable,Junior college,Male,24
39,10,12,12,Not applicable,Lt high school,Male,50
86,12,0,0,Not applicable,High school,Female,33
54,16,11,12,Not applicable,Bachelor,Male,64
26,12,Not applicable,12,Not applicable,High school,Male,0
37,18,Not applicable,17,17,Graduate,Female,65
45,16,14,14,Not applicable,Bachelor,Male,39
70,14,8,2,16,High school,Female,45
43,20,20,15,20,Graduate,Male,60
23,14,16,16,Not applicable,High school,Male,65
42,17,11,14,Not applicable,Bachelor,Female,53
86,14,3,12,Not applicable,Junior college,Female,33
72,12,6,6,Not applicable,High school,Female,48
55,18,Not applicable,18,Not applicable,Graduate,Female,38
69,11,0,3,Not applicable,Lt high school,Male,33
89 or older,6,Don't know,Not applicable,Not applicable,Lt high school,Female,35
68,10,2,8,Not applicable,Lt high school,Male,37
45,12,12,12,Not applicable,High school,Female,25
18,12,Not applicable,12,Not applicable,High school,Female,0
22,13,18,16,Not applicable,High school,Male,33
66,12,Not applicable,12,10,High school,Female,39
66,13,12,6,Not applicable,High school,Male,26
21,9,Not applicable,12,Not applicable,Lt high school,Male,38
65,12,8,8,12,High school,Male,38
29,13,13,16,12,High school,Male,28
50,13,8,12,12,High school,Female,25
65,12,8,12,Not applicable,High school,Male,25
53,11,Not applicable,Don't know,Not applicable,Lt high school,Male,41
32,14,Not applicable,11,14,High school,Female,47
47,12,13,15,Not applicable,High school,Female,31
58,12,2,Don't know,Don't know,High school,Male,22
44,15,Don't know,11,Not applicable,High school,Female,64
50,11,12,12,Not applicable,Lt high school,Male,36
51,15,Not applicable,20,Not applicable,Junior college,Male,53
53,13,8,12,Not applicable,High school,Female,51
44,14,12,12,Not applicable,Junior college,Female,47
40,13,12,9,Not applicable,High school,Male,40
56,11,Not applicable,10,Not applicable,Lt high school,Female,24
52,16,Not applicable,14,Not applicable,High school,Female,37
65,13,12,10,Not applicable,High school,Female,48
37,14,16,12,12,High school,Female,47
50,16,18,16,18,Bachelor,Male,50
27,15,16,14,Not applicable,High school,Female,38
49,16,12,12,16,Bachelor,Female,50
41,8,13,14,Not applicable,Lt high school,Male,35
72,14,8,0,12,Junior college,Male,56
42,12,7,12,Not applicable,High school,Male,40
24,13,Not applicable,16,Not applicable,High school,Male,49
31,9,7,Not applicable,Not applicable,Lt high school,Male,44
33,13,12,11,13,High school,Female,38
69,9,5,0,Not applicable,High school,Female,48
46,16,Not applicable,16,Not applicable,Bachelor,Female,53
71,9,Don't know,7,8,High school,Female,50
22,16,Not applicable,14,Not applicable,High school,Female,0
53,14,12,14,16,High school,Male,44
30,16,17,14,16,Graduate,Male,69
61,16,17,12,16,Bachelor,Male,65
39,18,5,5,15,Graduate,Male,60
27,16,16,16,16,Bachelor,Male,49
71,16,18,12,Not applicable,Bachelor,Male,75
60,12,14,12,14,High school,Female,46
47,17,18,16,Not applicable,Bachelor,Male,42
33,14,16,12,16,High school,Male,33
29,17,20,18,Not applicable,Bachelor,Male,50
60,13,14,12,Not applicable,High school,Female,47
27,13,12,12,Not applicable,High school,Female,25
30,9,Don't know,Don't know,Not applicable,High school,Male,33
24,13,8,11,Not applicable,Lt high school,Female,31
57,12,Don't know,Don't know,Not applicable,High school,Male,46
19,12,Not applicable,12,Not applicable,High school,Male,25
55,11,Don't know,Don't know,Not applicable,High school,Male,43
75,12,Don't know,Don't know,Not applicable,High school,Female,48
50,13,Don't know,12,12,High school,Male,59
70,17,6,11,12,Junior college,Male,39
65,18,18,12,Not applicable,Bachelor,Male,35
28,16,16,Not applicable,12,Bachelor,Female,62
57,12,12,13,11,High school,Female,74
48,18,12,12,17,Bachelor,Male,48
18,12,12,15,Not applicable,High school,Female,25
27,15,20,16,16,High school,Male,37
41,12,12,12,15,High school,Male,35
69,18,16,12,Not applicable,Graduate,Female,61
32,15,Not applicable,12,Not applicable,High school,Female,36
21,12,15,8,Not applicable,High school,Female,0
30,12,15,12,Not applicable,High school,Female,39
66,12,10,12,Not applicable,High school,Female,47
59,15,12,12,Not applicable,High school,Female,46
22,12,Not applicable,16,Not applicable,High school,Female,43
31,16,Not applicable,12,Not applicable,Junior college,Male,56
50,16,Not applicable,17,Not applicable,Bachelor,Female,46
21,15,16,16,Not applicable,High school,Male,35
29,16,Not applicable,16,16,Bachelor,Male,61
21,15,12,Not applicable,Not applicable,High school,Female,0
21,15,18,12,Not applicable,High school,Female,31
25,17,18,14,Not applicable,Bachelor,Male,48
22,16,16,15,Not applicable,Junior college,Male,30
23,13,16,18,Not applicable,High school,Male,24
21,14,17,18,Not applicable,High school,Male,0
21,15,20,16,Not applicable,High school,Male,38
55,16,12,12,16,Bachelor,Male,53
63,20,12,12,13,Graduate,Male,69
86,12,Don't know,Don't know,Not applicable,High school,Female,47
40,8,Don't know,13,13,Lt high school,Male,35
42,12,Not applicable,0,16,High school,Male,28
64,12,Don't know,10,Not applicable,High school,Female,39
72,20,16,12,Not applicable,Bachelor,Female,74
84,16,8,12,12,Junior college,Male,53
30,14,16,14,Not applicable,Junior college,Female,38
33,12,Not applicable,16,Not applicable,High school,Male,45
76,14,12,10,Not applicable,High school,Male,43
28,19,16,14,Not applicable,Graduate,Male,65
23,16,18,12,Not applicable,Bachelor,Female,31
30,12,Not applicable,12,11,Lt high school,Female,28
29,12,7,7,Not applicable,High school,Female,48
23,11,Not applicable,12,Not applicable,Lt high school,Male,28
85,17,0,0,Not applicable,Bachelor,Male,58
58,9,Don't know,3,12,Lt high school,Male,31
86,13,12,12,Not applicable,High school,Male,47
82,17,13,12,17,Graduate,Male,67
50,12,12,12,12,High school,Male,25
55,13,13,16,Not applicable,High school,Male,24
41,16,3,4,Not applicable,Bachelor,Female,0
22,14,13,0,Not applicable,High school,Male,34
28,14,8,5,12,Junior college,Male,47
87,12,8,12,Not applicable,High school,Female,31
64,16,13,16,15,Bachelor,Male,64
18,11,16,13,Not applicable,Lt high school,Female,0
73,12,12,12,17,High school,Female,47
68,13,12,12,16,High school,Female,46
51,20,14,14,14,Graduate,Female,69
67,16,Not applicable,12,12,Bachelor,Male,43
81,16,Not applicable,8,Not applicable,Bachelor,Male,69
70,16,12,13,Not applicable,Bachelor,Male,41
63,12,12,12,12,High school,Male,49
71,12,10,8,20,High school,Female,38
34,16,12,12,19,Bachelor,Male,53
86,16,12,12,Not applicable,Bachelor,Male,51
39,12,Not applicable,12,Not applicable,High school,Female,32
47,12,Don't know,Not applicable,Not applicable,High school,Male,25
33,18,Not applicable,11,15,Bachelor,Female,64
31,16,Not applicable,Not applicable,Not applicable,Bachelor,Male,49
57,12,12,12,16,High school,Female,36
35,13,Not applicable,18,18,High school,Male,55
65,12,12,12,Not applicable,High school,Female,48
69,12,Don't know,12,Not applicable,High school,Male,40
59,12,Not applicable,12,Not applicable,High school,Female,29
35,13,Not applicable,12,16,High school,Male,50
37,13,11,12,Not applicable,High school,Male,25
51,12,15,14,14,High school,Female,72
85,10,Not applicable,8,16,Lt high school,Male,0
49,16,16,16,16,Bachelor,Female,50
68,16,12,18,16,Graduate,Female,64
70,17,12,12,12,Junior college,Female,64
74,12,Not applicable,12,Not applicable,High school,Male,32
68,12,8,8,12,High school,Female,32
46,16,16,12,13,Bachelor,Female,47
51,14,Not applicable,14,18,Junior college,Female,64
66,12,12,12,Not applicable,High school,Male,35
43,14,Not applicable,12,Not applicable,High school,Male,49
74,11,Don't know,Don't know,Not applicable,Lt high school,Female,31
74,18,12,16,16,Graduate,Male,53
85,12,12,12,12,High school,Male,60
49,16,12,12,Not applicable,Bachelor,Male,46
46,12,Don't know,3,12,High school,Female,38
37,17,16,12,16,Bachelor,Female,64
41,11,Don't know,11,Not applicable,Lt high school,Female,48
22,12,14,12,12,High school,Male,37
